"id";"area";"country";"year";"month";"day";"depth";"x";"y";"duration";"swept";"category";"n";"kg"
"18ALB2013_PEC716_13";18;"ALB";2013;7;16;87.5;19.2534166666667;41.3146666666667;0.5;0.0508374;"ADV";5;0.04
"18ALB2013_PEC716_4";18;"ALB";2013;7;16;79;19.2685833333333;41.565;0.5;0.0457683;"ADV";3;0.1
"18ALB2013_PEC716_6";18;"ALB";2013;7;16;93;19.26825;41.4006666666667;0.5;0.0508374;"ADV";3;0.06
"18ALB2013_PEC716_8";18;"ALB";2013;7;16;58;19.3521666666667;41.1815833333333;0.5;0.048129;"ADV";0;0
"18ALB2013_PEC717_1";18;"ALB";2013;7;17;28.5;19.3959166666667;41.5575833333333;0.5;0.0435624;"ADV";1;0.04
"18ALB2013_PEC717_14";18;"ALB";2013;7;17;113.5;19.1041666666667;41.4048333333333;0.5;0.0514647;"ADV";3;0.12
"18ALB2013_PEC717_166";18;"ALB";2013;7;17;113.5;18.9695833333333;41.31125;0.5;0.0504063;"ADV";2;0.06
"18ALB2013_PEC717_168";18;"ALB";2013;7;17;396.5;18.7561666666667;41.4485;1;0.11112;"ADV";3;0.15
"18ALB2013_PEC717_26";18;"ALB";2013;7;17;295.5;18.8649166666667;41.0894166666667;1;0.10964;"ADV";1;0.3
"18ALB2013_PEC718_165";18;"ALB";2013;7;18;125.5;18.9438333333333;41.1048333333333;0.5;0.0514458;"ADV";0;0
"18ALB2013_PEC718_167";18;"ALB";2013;7;18;341;18.8814166666667;40.8878333333333;1;0.10484;"ADV";5;0.12
"18ALB2013_PEC718_170";18;"ALB";2013;7;18;617;18.7429166666667;41.06575;1;0.0970619;"ADV";6;1.4
"18ALB2013_PEC718_32";18;"ALB";2013;7;18;580;18.78;40.9619166666667;1;0.0992486;"ADV";1;0.01
"18ALB2013_PEC718_33";18;"ALB";2013;7;18;555.5;18.838;40.87275;1;0.1025385;"ADV";3;0.25
"18ALB2013_PEC718_38";18;"ALB";2013;7;18;585.5;18.918;40.7665833333333;1;0.1014353;"ADV";3;0.03
"18ALB2013_PEC719_169";18;"ALB";2013;7;19;517.5;19.0814166666667;40.4594166666667;1;0.106183;"ADV";0;0
"18ALB2013_PEC719_22";18;"ALB";2013;7;19;168;19.1514166666667;40.6173333333333;0.5;0.0525042;"ADV";2;0.15
"18ALB2013_PEC719_23";18;"ALB";2013;7;19;172.5;19.20425;40.4781666666667;0.5;0.0525042;"ADV";1;0.02
"18ALB2013_PEC719_27";18;"ALB";2013;7;19;331;18.995;40.7343333333333;1;0.10594;"ADV";0;0
"18ALB2013_PEC719_31";18;"ALB";2013;7;19;305.5;19.1385833333333;40.4600833333333;1;0.10558;"ADV";0;0
"18ALB2013_PEC719_39";18;"ALB";2013;7;19;587.5;18.9994166666667;40.6531666666667;1;0.1007064;"ADV";2;0.05
"18ALB2013_PEC720_10";18;"ALB";2013;7;20;91;19.199;40.9105833333333;0.5;0.050508;"ADV";2;0.07
"18ALB2013_PEC720_16";18;"ALB";2013;7;20;102.5;19.1623333333333;40.8555833333333;0.5;0.0525042;"ADV";2;0.21
"18ALB2013_PEC720_163";18;"ALB";2013;7;20;68.5;19.2449166666667;40.71375;0.5;0.0508374;"ADV";1;0.05
"18ALB2013_PEC720_17";18;"ALB";2013;7;20;111;19.1566666666667;40.715;0.5;0.0525042;"ADV";0;0
"18ALB2013_PEC720_2";18;"ALB";2013;7;20;14;19.4136666666667;41.11025;0.5;0.0466704;"ADV";0;0
"18ALB2013_PEC720_41";18;"ALB";2013;7;20;79;19.2616666666667;41.0856666666667;0.5;0.0508374;"ADV";5;0.32
"18ALB2014_PEC819_165";18;"ALB";2014;8;19;130;18.9394166666667;41.1218333333333;0.5;0.0526272;"ADV";2;0.03
"18ALB2014_PEC819_26";18;"ALB";2014;8;19;294;18.8655;41.0944166666667;1;0.1070784;"ADV";3;0.04
"18ALB2014_PEC819_41";18;"ALB";2014;8;19;78;19.2628333333333;41.0728333333333;0.5;0.0496121;"ADV";1;0.05
"18ALB2014_PEC819_8";18;"ALB";2014;8;19;60.5;19.3529166666667;41.18225;0.5;0.0489243;"ADV";9;0.3
"18ALB2014_PEC820_169";18;"ALB";2014;8;20;516;19.0634166666667;40.4829166666667;1;0.097;"ADV";1;0.22
"18ALB2014_PEC820_22";18;"ALB";2014;8;20;168.5;19.1495;40.61925;0.5;0.0533376;"ADV";3;0.07
"18ALB2014_PEC820_23";18;"ALB";2014;8;20;161;19.2078333333333;40.47625;0.5;0.0533376;"ADV";0;0
"18ALB2014_PEC820_31";18;"ALB";2014;8;20;324.5;19.1381666666667;40.46025;1;0.1085436;"ADV";0;0
"18ALB2014_PEC821_1";18;"ALB";2014;8;21;26.5;19.399;41.5494166666667;0.5;0.0497262;"ADV";4;0.25
"18ALB2014_PEC821_13";18;"ALB";2014;8;21;87;19.2525833333333;41.3175833333333;0.5;0.0499379;"ADV";0;0
"18ALB2014_PEC821_14";18;"ALB";2014;8;21;113.5;19.1046666666667;41.402;0.5;0.0518976;"ADV";6;0.055
"18ALB2014_PEC821_168";18;"ALB";2014;8;21;393.5;18.75875;41.4693333333333;1;0.1070784;"ADV";4;0.05
"18ALB2014_PEC821_4";18;"ALB";2014;8;21;75;19.2805833333333;41.5539166666667;0.5;0.0492682;"ADV";9;0.45
"18ALB2014_PEC821_6";18;"ALB";2014;8;21;93;19.2681666666667;41.4093333333333;0.5;0.0485985;"ADV";3;0.2
"18ALB2014_PEC822_166";18;"ALB";2014;8;22;114;18.9695833333333;41.3135833333333;0.5;0.050496;"ADV";1;0.03
"18ALB2014_PEC822_167";18;"ALB";2014;8;22;340.5;18.8891666666667;40.8769166666667;1;0.1045044;"ADV";5;0.1
"18ALB2014_PEC822_170";18;"ALB";2014;8;22;617;18.7465833333333;41.0669166666667;1;0.0991534;"ADV";7;0.27
"18ALB2014_PEC822_32";18;"ALB";2014;8;22;576;18.7799166666667;40.9635833333333;1;0.0952152;"ADV";2;0.21
"18ALB2014_PEC822_33";18;"ALB";2014;8;22;548;18.8375;40.8753333333333;1;0.1009576;"ADV";4;0.53
"18ALB2014_PEC822_38";18;"ALB";2014;8;22;579;18.9201666666667;40.7658333333333;1;0.1002398;"ADV";3;0.015
"18ALB2014_PEC823_10";18;"ALB";2014;8;23;88.5;19.2034166666667;40.9450833333333;0.5;0.0499379;"ADV";5;0.14
"18ALB2014_PEC823_16";18;"ALB";2014;8;23;103;19.1614166666667;40.8535833333333;0.5;0.052992;"ADV";4;0.05
"18ALB2014_PEC823_163";18;"ALB";2014;8;23;69.5;19.2546666666667;40.761;0.5;0.0489424;"ADV";0;0
"18ALB2014_PEC823_17";18;"ALB";2014;8;23;112;19.1551666666667;40.7159166666667;0.5;0.0512064;"ADV";2;0.28
"18ALB2014_PEC823_27";18;"ALB";2014;8;23;320;19.01075;40.7155833333333;1;0.1045044;"ADV";2;0.1
"18ALB2014_PEC823_39";18;"ALB";2014;8;23;539.5;18.9865833333333;40.68875;1;0.097;"ADV";2;0.41
"18ALB2014_PEC824_2";18;"ALB";2014;8;24;14;19.41425;41.1005;0.5;0.0497262;"ADV";2;0.01
"18ALB2015_PEC83_13";18;"ALB";2015;8;3;88;19.2555;41.3075833333333;0.5;0.0508374;"ADV";3;0.14
"18ALB2015_PEC83_2";18;"ALB";2015;8;3;14.5;19.4145833333333;41.096;0.5;0.0480594;"ADV";2;0.04
"18ALB2015_PEC83_8";18;"ALB";2015;8;3;61;19.3520833333333;41.1898333333333;0.5;0.0508374;"ADV";3;0.06
"18ALB2015_PEC84_10";18;"ALB";2015;8;4;90;19.2028333333333;40.9311666666667;0.5;0.0508374;"ADV";3;0.1
"18ALB2015_PEC84_16";18;"ALB";2015;8;4;102.5;19.1615;40.8426666666667;0.5;0.0522264;"ADV";3;0.1
"18ALB2015_PEC84_163";18;"ALB";2015;8;4;69;19.2535833333333;40.7484166666667;0.5;0.0508374;"ADV";2;0.12
"18ALB2015_PEC84_17";18;"ALB";2015;8;4;114;19.1553333333333;40.70175;0.5;0.0522264;"ADV";1;0.1
"18ALB2015_PEC84_22";18;"ALB";2015;8;4;165.5;19.1589166666667;40.60625;0.5;0.0518692;"ADV";2;0.06
"18ALB2015_PEC84_23";18;"ALB";2015;8;4;167.5;19.2110833333333;40.4701666666667;0.5;0.0518692;"ADV";2;0.05
"18ALB2015_PEC84_41";18;"ALB";2015;8;4;77;19.2628333333333;41.07525;0.5;0.0508374;"ADV";2;0.05
"18ALB2015_PEC85_167";18;"ALB";2015;8;5;344.5;18.87375;40.8996666666667;1;0.1056132;"ADV";1;0.02
"18ALB2015_PEC85_169";18;"ALB";2015;8;5;513;19.0625;40.4835;1;0.1063508;"ADV";1;0.05
"18ALB2015_PEC85_27";18;"ALB";2015;8;5;332;18.9919166666667;40.73575;1;0.1063458;"ADV";2;0.1
"18ALB2015_PEC85_31";18;"ALB";2015;8;5;326.5;19.138;40.4601666666667;1;0.1092762;"ADV";2;0.52
"18ALB2015_PEC85_38";18;"ALB";2015;8;5;515;18.8979166666667;40.7954166666667;1;0.1067;"ADV";3;0.06
"18ALB2015_PEC85_39";18;"ALB";2015;8;5;519;18.9898333333333;40.6869166666667;1;0.1038482;"ADV";0;0
"18ALB2015_PEC86_165";18;"ALB";2015;8;6;128.5;18.9394166666667;41.1240833333333;0.5;0.050478;"ADV";1;0.1
"18ALB2015_PEC86_170";18;"ALB";2015;8;6;618.5;18.7449166666667;41.095;1;0.0988042;"ADV";10;0.42
"18ALB2015_PEC86_26";18;"ALB";2015;8;6;295.5;18.8649166666667;41.09625;1;0.1033956;"ADV";1;0.16
"18ALB2015_PEC86_32";18;"ALB";2015;8;6;549;18.7716666666667;41.0005;1;0.1045466;"ADV";0;0
"18ALB2015_PEC86_33";18;"ALB";2015;8;6;560.5;18.81775;40.90375;1;0.102044;"ADV";3;0.26
"18ALB2015_PEC87_1";18;"ALB";2015;8;7;27.5;19.3974166666667;41.5563333333333;0.5;0.0480594;"ADV";2;0.05
"18ALB2015_PEC87_14";18;"ALB";2015;8;7;115;19.1046666666667;41.4150833333333;0.5;0.051512;"ADV";3;0.02
"18ALB2015_PEC87_166";18;"ALB";2015;8;7;112;18.9803333333333;41.32975;0.5;0.0522264;"ADV";2;0.05
"18ALB2015_PEC87_168";18;"ALB";2015;8;7;392;18.7614166666667;41.4434166666667;1;0.100485;"ADV";2;0.1
"18ALB2015_PEC87_4";18;"ALB";2015;8;7;75.5;19.28025;41.54725;0.5;0.0504897;"ADV";1;0.06
"18ALB2015_PEC87_6";18;"ALB";2015;8;7;92.5;19.269;41.4103333333333;0.5;0.0508374;"ADV";0;0
"18ALB2016_PEC729_167";18;"ALB";2016;7;29;342;18.87925;40.8920833333333;1;0.11112;"ADV";1;0.05
"18ALB2016_PEC729_27";18;"ALB";2016;7;29;318;19.0140833333333;40.71375;1;0.11;"ADV";2;0.04
"18ALB2016_PEC729_32";18;"ALB";2016;7;29;560.5;18.77625;40.9890833333333;1;0.1048806;"ADV";3;0.11
"18ALB2016_PEC729_33";18;"ALB";2016;7;29;573.5;18.8203333333333;40.8985833333333;1;0.1030392;"ADV";2;1.33
"18ALB2016_PEC729_38";18;"ALB";2016;7;29;544.5;18.899;40.79325;1;0.1100088;"ADV";1;0.02
"18ALB2016_PEC729_39";18;"ALB";2016;7;29;539.5;18.9868333333333;40.6915;1;0.1089;"ADV";4;0.15
"18ALB2016_PEC730_165";18;"ALB";2016;7;30;132;18.9384166666667;41.12225;0.5;0.0525346;"ADV";2;0.03
"18ALB2016_PEC730_168";18;"ALB";2016;7;30;389;18.7606666666667;41.464;1;0.11112;"ADV";1;0.01
"18ALB2016_PEC730_170";18;"ALB";2016;7;30;625;18.7463333333333;41.09625;1;0.1070784;"ADV";14;1.06
"18ALB2016_PEC730_26";18;"ALB";2016;7;30;294.5;18.8668333333333;41.09575;1;0.11112;"ADV";3;0.37
"18ALB2016_PEC82_2";18;"ALB";2016;8;2;14;19.41425;41.1035833333333;0.5;0.0480594;"ADV";3;0.03
"18ALB2016_PEC82_8";18;"ALB";2016;8;2;60.5;19.3535;41.18725;0.5;0.0511152;"ADV";2;0.12
"18ALB2016_PEC83_1";18;"ALB";2016;8;3;26;19.3994166666667;41.54975;0.5;0.0477307;"ADV";1;0.02
"18ALB2016_PEC83_13";18;"ALB";2016;8;3;85;19.2559166666667;41.3036666666667;0.5;0.0511152;"ADV";7;0.21
"18ALB2016_PEC83_14";18;"ALB";2016;8;3;114;19.1055833333333;41.4144166666667;0.5;0.0536154;"ADV";0;0
"18ALB2016_PEC83_4";18;"ALB";2016;8;3;76;19.2795;41.5416666666667;0.5;0.0511152;"ADV";0;0
"18ALB2016_PEC83_6";18;"ALB";2016;8;3;93.5;19.2675;41.4069166666667;0.5;0.0511152;"ADV";3;0.17
"18ALB2016_PEC84_163";18;"ALB";2016;8;4;69.5;19.2545;40.7536666666667;0.5;0.0511152;"ADV";5;0.38
"18ALB2016_PEC84_169";18;"ALB";2016;8;4;525.5;19.0619166666667;40.4828333333333;1;0.1023066;"ADV";1;0.05
"18ALB2016_PEC84_17";18;"ALB";2016;8;4;114.5;19.1560833333333;40.7004166666667;0.5;0.0536154;"ADV";7;0.1
"18ALB2016_PEC84_22";18;"ALB";2016;8;4;167.5;19.15925;40.60475;0.5;0.0536154;"ADV";0;0
"18ALB2016_PEC84_23";18;"ALB";2016;8;4;164;19.2083333333333;40.4734166666667;0.5;0.0536154;"ADV";0;0
"18ALB2016_PEC84_31";18;"ALB";2016;8;4;300.5;19.13725;40.4578333333333;1;0.11036;"ADV";1;0.1
"18ALB2016_PEC85_10";18;"ALB";2016;8;5;88;19.204;40.9479166666667;0.5;0.0511152;"ADV";3;0.06
"18ALB2016_PEC85_16";18;"ALB";2016;8;5;103;19.1624166666667;40.8536666666667;0.5;0.0536154;"ADV";1;0.05
"18ALB2016_PEC85_166";18;"ALB";2016;8;5;115;18.9753333333333;41.32525;0.5;0.0536154;"ADV";0;0
"18ALB2016_PEC85_41";18;"ALB";2016;8;5;77.5;19.26275;41.08525;0.5;0.0511152;"ADV";4;0.2
"18ALB2017_PEC1019_167";18;"ALB";2017;10;19;347.5;18.8710833333333;40.9043333333333;1;0.1063496;"ADV";3;0.21
"18ALB2017_PEC1019_170";18;"ALB";2017;10;19;601.5;18.7436666666667;41.10675;1;0.1011513;"ADV";8;1.54
"18ALB2017_PEC1019_33";18;"ALB";2017;10;19;555.5;18.8119166666667;40.912;1;0.1025795;"ADV";2;0.115
"18ALB2017_PEC1019_38";18;"ALB";2017;10;19;518.5;18.8965;40.7966666666667;1;0.103641;"ADV";0;0
"18ALB2017_PEC1019_39";18;"ALB";2017;10;19;545;18.9866666666667;40.6926666666667;1;0.1011513;"ADV";3;0.08
"18ALB2017_PEC1021_165";18;"ALB";2017;10;21;126.5;18.9428333333333;41.1033333333333;0.5;0.052782;"ADV";1;0.63
"18ALB2017_PEC1021_166";18;"ALB";2017;10;21;116.5;18.9675833333333;41.3103333333333;0.5;0.051718;"ADV";3;0.03
"18ALB2017_PEC1021_168";18;"ALB";2017;10;21;392;18.7635;41.4413333333333;1;0.1019984;"ADV";2;0.05
"18ALB2017_PEC1021_26";18;"ALB";2017;10;21;295;18.86525;41.0938333333333;1;0.1059968;"ADV";1;0.02
"18ALB2017_PEC1021_32";18;"ALB";2017;10;21;564.5;18.7800833333333;40.9566666666667;1;0.1018654;"ADV";5;0.06
"18ALB2017_PEC1027_10";18;"ALB";2017;10;27;90;19.20375;40.9308333333333;0.5;0.0482727;"ADV";4;0.14
"18ALB2017_PEC1027_16";18;"ALB";2017;10;27;103;19.1615833333333;40.8421666666667;0.5;0.050673;"ADV";1;0.03
"18ALB2017_PEC1027_2";18;"ALB";2017;10;27;14.5;19.4145;41.1011666666667;0.5;0.047226;"ADV";0;0
"18ALB2017_PEC1028_1";18;"ALB";2017;10;28;29;19.3969166666667;41.55975;0.5;0.047226;"ADV";0;0
"18ALB2017_PEC1028_13";18;"ALB";2017;10;28;83.5;19.25675;41.3;0.5;0.0502818;"ADV";5;0.24
"18ALB2017_PEC1028_4";18;"ALB";2017;10;28;77.5;19.2770833333333;41.5319166666667;0.5;0.0502818;"ADV";10;0.3
"18ALB2017_PEC1028_8";18;"ALB";2017;10;28;61;19.3524166666667;41.1853333333333;0.5;0.0502818;"ADV";3;0.05
"18ALB2017_PEC1029_163";18;"ALB";2017;10;29;69;19.2553333333333;40.7594166666667;0.5;0.0502818;"ADV";5;0.27
"18ALB2017_PEC1029_169";18;"ALB";2017;10;29;524;19.0811666666667;40.4591666666667;1;0.0982949;"ADV";0;0
"18ALB2017_PEC1029_22";18;"ALB";2017;10;29;171;19.148;40.6209166666667;0.5;0.052782;"ADV";1;0.01
"18ALB2017_PEC1029_23";18;"ALB";2017;10;29;162.5;19.2071666666667;40.4784166666667;0.5;0.052782;"ADV";0;0
"18ALB2017_PEC1029_31";18;"ALB";2017;10;29;298;19.13575;40.4833333333333;1;0.1034488;"ADV";1;0.02
"18ALB2018_MIZ728_167";18;"ALB";2018;7;28;345.5;18.874;40.8975;1;0.106722;"ADV";2;0.03
"18ALB2018_MIZ728_27";18;"ALB";2018;7;28;325.5;19.0005833333333;40.72875;1;0.1088976;"ADV";1;0.03
"18ALB2018_MIZ728_32";18;"ALB";2018;7;28;555;18.77525;40.9906666666667;0.916666666666667;0.085344;"ADV";2;0.05
"18ALB2018_MIZ728_33";18;"ALB";2018;7;28;540;18.81325;40.91225;1;0.1034688;"ADV";1;0.02
"18ALB2018_MIZ728_38";18;"ALB";2018;7;28;587.5;18.9060833333333;40.7830833333333;1;0.1055424;"ADV";1;0.02
"18ALB2018_MIZ728_39";18;"ALB";2018;7;28;518;18.9888333333333;40.6875833333333;1;0.1010496;"ADV";2;0.03
"18ALB2018_MIZ729_168";18;"ALB";2018;7;29;392;18.76225;41.4449166666667;1;0.1088976;"ADV";1;0.02
"18ALB2018_MIZ730_14";18;"ALB";2018;7;30;114.5;19.10475;41.4011666666667;0.5;0.0516708;"ADV";1;0.05
"18ALB2018_MIZ730_165";18;"ALB";2018;7;30;125;18.944;41.1045833333333;0.5;0.0516708;"ADV";0;0
"18ALB2018_MIZ730_166";18;"ALB";2018;7;30;118.5;18.9675833333333;41.3130833333333;0.5;0.0516708;"ADV";1;0.05
"18ALB2018_MIZ730_170";18;"ALB";2018;7;30;595.5;18.7471666666667;41.0705833333333;1;0.1015488;"ADV";4;0.04
"18ALB2018_MIZ730_26";18;"ALB";2018;7;30;295;18.86125;41.1145833333333;1;0.1088976;"ADV";1;0.02
"18ALB2018_MIZ823_1";18;"ALB";2018;8;23;26.5;19.3994166666667;41.5490833333333;0.5;0.0461148;"ADV";1;0.03
"18ALB2018_MIZ823_13";18;"ALB";2018;8;23;87.5;19.2531666666667;41.313;0.5;0.0497262;"ADV";1;0.04
"18ALB2018_MIZ823_4";18;"ALB";2018;8;23;75.5;19.2816666666667;41.5528333333333;0.5;0.0497262;"ADV";4;0.32
"18ALB2018_MIZ823_6";18;"ALB";2018;8;23;94;19.2684166666667;41.4175833333333;0.5;0.0497262;"ADV";2;0.08
"18ALB2018_MIZ824_16";18;"ALB";2018;8;24;103;19.1624166666667;40.8581666666667;0.5;0.0516708;"ADV";3;0.03
"18ALB2018_MIZ824_163";18;"ALB";2018;8;24;70;19.255;40.7615833333333;0.5;0.0497262;"ADV";0;0
"18ALB2018_MIZ824_169";18;"ALB";2018;8;24;533;19.08275;40.4565833333333;1;0.0992064;"ADV";2;0.03
"18ALB2018_MIZ824_17";18;"ALB";2018;8;24;109.5;19.1560833333333;40.7221666666667;0.5;0.0516708;"ADV";2;0.02
"18ALB2018_MIZ824_22";18;"ALB";2018;8;24;169;19.145;40.6311666666667;0.5;0.0516708;"ADV";0;0
"18ALB2018_MIZ824_23";18;"ALB";2018;8;24;162;19.20475;40.4781666666667;0.5;0.0516708;"ADV";2;0.13
"18ALB2018_MIZ824_31";18;"ALB";2018;8;24;297;19.1345;40.4845;1;0.1088976;"ADV";0;0
"18ALB2018_MIZ825_10";18;"ALB";2018;8;25;88.5;19.2040833333333;40.954;0.5;0.0497262;"ADV";0;0
"18ALB2018_MIZ825_2";18;"ALB";2018;8;25;15;19.4139166666667;41.10775;0.5;0.0461148;"ADV";1;0.02
"18ALB2018_MIZ825_41";18;"ALB";2018;8;25;78.5;19.2625;41.0875;0.5;0.0497262;"ADV";0;0
"18ALB2018_MIZ825_8";18;"ALB";2018;8;25;61;19.3541666666667;41.1954166666667;0.5;0.049404;"ADV";3;0.1
"18ALB2019_MIZ71_14";18;"ALB";2019;7;1;115.5;19.1053333333333;41.4099166666667;0.5;0.047619;"ADV";2;0.04
"18ALB2019_MIZ71_165";18;"ALB";2019;7;1;126;18.9409166666667;41.119;0.5;0.0537795;"ADV";0;0
"18ALB2019_MIZ71_166";18;"ALB";2019;7;1;114;18.9735833333333;41.3205;0.5;0.0524105;"ADV";0;0
"18ALB2019_MIZ71_168";18;"ALB";2019;7;1;391.5;18.76025;41.45975;1;0.1040077;"ADV";1;0.01
"18ALB2019_MIZ71_170";18;"ALB";2019;7;1;620.5;18.7454166666667;41.0965833333333;1;0.1004535;"ADV";0;0
"18ALB2019_MIZ71_26";18;"ALB";2019;7;1;295;18.8616666666667;41.113;1;0.1108013;"ADV";3;0.42
"18ALB2019_MIZ73_167";18;"ALB";2019;7;3;340;18.8838333333333;40.8854166666667;1;0.1079449;"ADV";0;0
"18ALB2019_MIZ73_27";18;"ALB";2019;7;3;327.5;18.9993333333333;40.72875;1;0.1047218;"ADV";5;0.19
"18ALB2019_MIZ73_32";18;"ALB";2019;7;3;569;18.7786666666667;40.97825;1;0.1015119;"ADV";4;0.04
"18ALB2019_MIZ73_33";18;"ALB";2019;7;3;568.5;18.8199166666667;40.9005833333333;1;0.1015119;"ADV";5;0.15
"18ALB2019_MIZ73_38";18;"ALB";2019;7;3;583.5;18.902;40.78825;1;0.1029105;"ADV";4;0.07
"18ALB2019_MIZ73_39";18;"ALB";2019;7;3;562.5;18.9916666666667;40.6819166666667;1;0.0965979;"ADV";2;0.15
"18ALB2019_MIZ730_10";18;"ALB";2019;7;30;89;19.2038333333333;40.9405833333333;0.5;0.0491706;"ADV";2;0.05
"18ALB2019_MIZ730_16";18;"ALB";2019;7;30;103;19.1614166666667;40.8419166666667;0.5;0.051393;"ADV";18;2.92
"18ALB2019_MIZ730_17";18;"ALB";2019;7;30;113;19.15575;40.7024166666667;0.5;0.051393;"ADV";1;0.13
"18ALB2019_MIZ730_2";18;"ALB";2019;7;30;14.5;19.41375;41.1044166666667;0.5;0.045837;"ADV";0;0
"18ALB2019_MIZ730_22";18;"ALB";2019;7;30;167.5;19.1523333333333;40.61525;0.5;0.051393;"ADV";4;0.5
"18ALB2019_MIZ730_41";18;"ALB";2019;7;30;78.5;19.2624166666667;41.0795833333333;0.5;0.0491706;"ADV";3;0.6
"18ALB2019_MIZ730_8";18;"ALB";2019;7;30;61.5;19.3523333333333;41.19175;0.5;0.0491706;"ADV";4;0.1
"18ALB2019_MIZ731_163";18;"ALB";2019;7;31;70;19.2554166666667;40.761;0.5;0.048852;"ADV";1;0.05
"18ALB2019_MIZ731_169";18;"ALB";2019;7;31;530.5;19.0804166666667;40.46675;1;0.0983556;"ADV";1;0.05
"18ALB2019_MIZ731_23";18;"ALB";2019;7;31;162.5;19.2078333333333;40.47525;0.5;0.050024;"ADV";2;0.05
"18ALB2019_MIZ731_31";18;"ALB";2019;7;31;297;19.1348333333333;40.4843333333333;1;0.1029462;"ADV";2;0.08
"18ALB2019_MIZ81_1";18;"ALB";2019;8;1;28;19.39825;41.5578333333333;0.5;0.045837;"ADV";4;0.14
"18ALB2019_MIZ81_13";18;"ALB";2019;8;1;88;19.25475;41.3074166666667;0.5;0.0485157;"ADV";0;0
"18ALB2019_MIZ81_4";18;"ALB";2019;8;1;77;19.27825;41.5401666666667;0.5;0.0491706;"ADV";3;0.03
"18ALB2019_MIZ81_6";18;"ALB";2019;8;1;94;19.2675;41.4023333333333;0.5;0.0491706;"ADV";2;0.06
"18ALB2020_MIZ114_14";18;"ALB";2020;11;4;113.5;19.1054166666667;41.4048333333333;0.5;0.049444;"ADV";0;0
"18ALB2020_MIZ114_165";18;"ALB";2020;11;4;125.5;18.9438333333333;41.1123333333333;0.5;0.0536176;"ADV";0;0
"18ALB2020_MIZ114_166";18;"ALB";2020;11;4;115.5;18.9711666666667;41.3171666666667;0.5;0.0515308;"ADV";4;0.38
"18ALB2020_MIZ114_168";18;"ALB";2020;11;4;389.5;18.7613333333333;41.46325;1;0.1039766;"ADV";2;0.1
"18ALB2020_MIZ114_170";18;"ALB";2020;11;4;600;18.7475833333333;41.0755;1;0.0961526;"ADV";0;0
"18ALB2020_MIZ114_26";18;"ALB";2020;11;4;297;18.8618333333333;41.1118333333333;1;0.1072665;"ADV";1;0.02
"18ALB2020_MIZ115_167";18;"ALB";2020;11;5;345.5;18.8776666666667;40.8930833333333;1;0.1054344;"ADV";2;0.07
